Instruction,Output,input_text
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",5 mW,The optical power of 5mW was achieved with a threshold current density of 50 A/cm2 at 1K from a 20-mm-wide and 0.25-mm-long laser in cw operation.
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",0.5 mW,"Our measurements with a thermopile detector (Company B, model PN30) near the cryostat yielded a peak continuous wave power of 0.5 mW from a single facet and collected by a Winston cone with a circular aperture size of 6.00 mm diameter."
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",InAs/Al0.015Ga0.985As,"The heterostructure in our laser is made of InAs/Al0.015Ga0.985As, resembling Ref [11], but with a 1.5% expansion in all layer thicknesses."
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",45 Mw,"In cw operation, a 110-mm-wide and 2.5-mm-long laser operated at 9K, producing an optical power of 45mW with a threshold current density of 220 A/cm2."
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",GaN/InGaN,The QCL incorporates a eight-well period with a GaN/InGaN material system.
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",GaAs/Al0.15Ga0.85As,"The presence of LO phonon scattering in the GaAs/Al0.15Ga0.85As laser structure serves to deplete the electron population.		"
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text","118 K, 96 K","The laser operated up to a heat-sink temperature of 118 K in pulsed mode, 96 K in continuous wave (cw) mode."
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text","180 K, 120 K","Through our experiments, we have successfully demonstrated a terahertz quantum-cascade laser that can function up to 180 K in pulsed mode and 120 K in continuous wave mode at approximately 3.5 THz."
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",LO-phonon,"At B = 8 T, where the cyclotron transition is almost resonant with the LO-phonon, we recorded a maximum operating temperature of 205K for the devices with Cu waveguide."
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",50 Hz,"At a frequency of 50 Hz and operating at 10 K, the threshold current density indicates 425 A/cm2, and the peak power reaches 3.1 mW."
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",GaAs/Al0.1Ga0.9N,"A six-well period has been incorporated into the QCL, consisting of a GaAs/Al0.1Ga0.9N material system."
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",5.2 Mw,"When operated at 12 K, the threshold current density is measured at 1500 A/cm2, while the peak power shows an increase to 5.2 mW."
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",GaAs/Al0.2Ga0.8As,"Our MH system consists of five quantum well GaAs/Al0.2Ga0.8As active modules with diagonal transitions, and an optimized oscillator strength of 0.632."
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",42 K,"In cw operation, this device lased up to Tmax=42K."
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",InSb/Al 0.3Ga0.7As,This resonant-phonon laser utilizes an active region with 150 repeated periods of the 5-well module grown via molecular beam epitaxy in the InSb/Al 0.3Ga0.7As system.
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text","150 K, 105 K",Our team has successfully developed terahertz quantum cascade lasers that can operate up to pulsed temperatures of 150 K and cw temperatures of 105 K.
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",GaAs/Al 0.15Ga0.85As,"In the GaAs/Al 0.15Ga0.85As material system, the resonant-phonon laser's active region contains 178 repeated periods of the 4-well module grown using molecular beam epitaxy (MBE).		"
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",40 Mw,The optical power of 40mW was achieved with a threshold current density of 400 A/cm2 at 20K from a 80-mm-wide and 1.25-mm-long laser in cw operation.
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",55 Mw,"At 8K, a 120-??m-wide laser with a length of 1.2 mm had a threshold current density of 320 A/cm2 and an optical power of 55mW in cw operation."
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",150 K,"The ability to operate at a maximum temperature of 150 K and produce an impressive peak output of 200mW is attributed to the wide range of current density in the double metal waveguide device and the single surface plasmon waveguide device.		"
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",20 mW,"At 85 K, the threshold current-density was measured as ~1700 A/cm2 with a peak-power output of ~20 mW."
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",5.5 THz,Innovative GaAs/AlGaAs quantum cascade lasers composed of six quantum wells have been successfully demonstrated to operate at 5.5 THz.
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",4.78 THz,"The device is designed to operate at temperatures ranging from 50K to 180K, with a lasing frequency of 4.78 THz."
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",0.8 mW,"Using a thermopile detector (ScienTech, model AC1500) near the cryostat window, a peak cw power of 0.8 mW was detected from a single facet collected with a Winston cone with a circular opening of 3.00 mm diameter."
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",8 Mw,The prototype displayed remarkable results with threshold current densities reaching 0.9 kA/cm2 and peak optical powers surpassing 8 mW.
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",3.9 THz,"When the frequency of the laser was set to 3.9 THz, a measurement of 63 milliwatts of optical power was obtained at 5 Kelvin, with a remaining detectable power of around 5 milliwatts achievable at 180 Kelvin.		"
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",3.1 Mw,"At a frequency of 50 Hz and operating at 10 K, the threshold current density indicates 425 A/cm2, and the peak power reaches 3.1 mW."
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text","165 K, 119 K","With precise temperature control, the lasers were able to operate at 165 K in pulsed mode and at 119 K in continuous-wave mode."
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",100 mW,"With a threshold current density of 600 A/cm2 at 30K, a 100-mW optical power was achieved from a 160-mm-wide and 2.5-mm-long laser in cw operation."
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",50 Mw,A threshold current density of 500 A/cm2 at 15K resulted in an optical power of 50mW from a laser with a width of 50mm and a length of 0.625mm in continuous-wave operation.
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",4.9 THz,A 4.9 THz quantum cascade laser (QCL) utilizing a scattering-assisted injection and resonant-phonon depopulation strategy has been successfully implemented.
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",80 mW,The laser emitted an optical power of 80mW with a threshold current density of 800 A/cm2 at 30K from a 160-mm-wide and 10-mm-long device in cw operation.
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text","135 K, 245 K",The study compared the performance of the lasers at different temperatures and found optimal results at 135 K in pulsed mode and at 245 K in continuous-wave mode.
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",2.8 THz,The emission spectrum of a GaAs/AlGaAs quantum cascade laser with twelve quantum well structures was found to peak at 2.8 THz.
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text","167 K, 113 K",The study compared the performance of the lasers at different temperatures and found optimal results at 167 K in pulsed mode and at 113 K in continuous-wave mode.
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",149 K,Our team successfully demonstrated the capabilities of InGaAs-based THz QCLs by attaining a maximum heatsink temperature of 149 K.
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",0.85 W,"The newly developed terahertz quantum cascade laser boasted an impressive output power of 0.85 W in continuous wave mode, setting a new standard in the field."
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",170 K,"By implementing a new cooling system, the QCL was able to operate at a heat-sink temperature of 170 K, surpassing previous THz QCLs in terms of highest achievable temperature."
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",10.86 THz,Our research indicates that the most efficient 11.8-mm-long device operating at 10.86 THz has a low threshold current density of 230 A/cm2 at 17 K.
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",2.2 THz,A 2.2 THz quantum cascade laser (QCL) utilizing a scattering-assisted injection and resonant-phonon depopulation strategy has been successfully implemented.
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",40 Mw,"At 50 K, the threshold current-density was measured as ~2300 A/cm2 with a peak-power output of ~40 mW."
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",8.21 THz,"At 225K, the device can produce a lasing frequency of 8.21 THz, making it highly versatile for various applications."
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text","123 K, 300 K",The study compared the performance of the lasers at different temperatures and found optimal results at 123 K in pulsed mode and at 300 K in continuous-wave mode.
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",170 K,"The QCL has been tested at a maximum heat-sink temperature of 170 K, proving its robustness and ability to operate efficiently in high-temperature environments."
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",18.2 W,"When the temperature is increased to 100 degrees Celsius, the continuous wave output power sets a new record at 18.2 W."
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",2.1 THz,"A design scheme involving scattering-assisted injection and resonant-phonon depopulation was employed in the demonstration of a 2.1 THz quantum cascade laser (QCL).		"
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",9.12 THz,"For one wafer based on PbTe/SnTe heterostructures for lasers with a target frequency of 9.12 THz, we observed a blue shift of the emission frequency from the center to the edge of the wafer."
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",0.45 W,"By optimizing the design, the team was able to increase the output power of their terahertz quantum cascade laser to 0.45 W in continuous wave mode."
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",bound-to-continuum,"Using a bound-to-continuum active region and high-resistivity surface-plasmon waveguide design, we were able to achieve continuous-wave operation of 9.7 THz quantum cascade lasers emitting at 4.2 THz."
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",62 mW,"At a temperature of 10K, a 130-mm-wide and 1.5-mm-long laser achieved an optical power of 62mW with a threshold current density of 285 A/cm2 during continuous operation.		"
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",12 mW,"At 55 K, the threshold current-density was measured as ~800 A/cm2 with a peak-power output of ~12 mW."
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",186 K," The emitted Tmax at 186 K for this terahertz QCL is the greatest ever recorded, despite the fact that the radiative oscillator intensity in this configuration is notably lower than in previous designs.		"
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",LO-phonon,"At B = 20 T, where the cyclotron transition is almost resonant with the LO-phonon, we recorded a maximum operating temperature of 195K for the devices with Cu waveguide."
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",0.4 Mw,"After placing a thermopile detector (Brand Z, model TD100) close to the cryostat, we detected a peak continuous wave power of 0.4 mW from a single facet using a Winston cone with a circular aperture size of 3.00 mm diameter."
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text","In0.51Ga0.49As/GaAs0.55Sb0.45, In0.53Ga0.47As/In0.52Al0.48As","Our experiment demonstrated that the alternative material combination In0.51Ga0.49As/GaAs0.55Sb0.45, lattice-matched to InP, has distinct advantages over traditional In0.53Ga0.47As/In0.52Al0.48As in terms of fabrication process and material properties."
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",resonant-phonon,"Scientists have successfully demonstrated the capabilities of resonant-phonon terahertz quantum-cascade lasers at an operating temperature of 155 K, paving the way for future advancements in laser technology."
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",25 mW,The optical power of 25mW was achieved with a threshold current density of 250 A/cm2 at 6K from a 100-mm-wide and 1-mm-long laser in cw operation.
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",145 K,Researchers have successfully developed laser technology that utilizes resonant-phonon terahertz quantum-cascade lasers and can operate at a heat-sink temperature of 145 K.
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",90 K,"Thanks to our improved cooling system, the heat-sink temperature for our quantum-cascade lasers was significantly reduced to 90 K."
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",InAs/Al0.03Ga0.97As,"The heterostructure in our laser is made of InAs/Al0.03Ga0.97As, resembling Ref [6] but with a 1% expansion in all layer thicknesses."
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",129 K,"In cw operation, this device lased up to Tmax=129K."
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",GaAs/Al0.15Ga0.85 As,"Our laser design is constructed using a GaAs/Al0.15Ga0.85 As heterostructure, bearing resemblance to the structure in Ref. [6], with the sole difference being an approximate 2% enlargement in layer thicknesses.		"
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",62 mW,"Under continuous operation at 10K, a 130-mm-wide and 1.5-mm-long laser produced an optical power of 62mW and had a threshold current density of 285 A/cm2.		"
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",GaAs/Al0.45Ga0.65As,"The  proposed QCL  laser device is based on a three-well period implemented in the GaAs/Al0.45Ga0.65As material system.		"
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",12.6 W,"With a temperature rise of 50 degrees, the continuous wave output power surpasses the old record by reaching 12.6 W."
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",188 K,"At B = 17 T, where the cyclotron transition is almost resonant with the LO-phonon, we recorded a maximum operating temperature of 188K for the devices with Cu waveguide."
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",175 K,A threshold current density of 1000 A/cm2 and an operating temperature of 175K resulted in an optical power of 200mW from a 900-mm-wide and 9-mm-long laser in cw operation.
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",4.5 THz,"Using an advanced epitaxial growth technique, GaAs/AlGaAs quantum cascade lasers with nine quantum wells have been created and exhibit efficient operation at 4.5 THz."
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",0.9 THz,A sequential wafer fusion technique was used to create a GaN/InGaN quantum cascade laser with two quantum well structures operating at 0.9 THz.
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",2.5 THz,"Through extensive experimentation, a 2.5 THz quantum cascade laser (QCL) was produced using a scattering-assisted injection and resonant-phonon depopulation configuration."
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",resonant-phonon," Utilizing an innovative scattering-driven injection and resonant-phonon depleting technique, a pioneering quantum cascade laser with a frequency of 9.2 THz was successfully produced."
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",5.5 THz,"Using state-of-the-art technology, we have successfully developed a terahertz quantum-cascade laser that operates at 250 K in pulsed mode and 150 K in continuous wave mode at approximately 5.5 THz."
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",6.7 THz,An unexpected spike in spectral emission at 6.7 THz prompted further analysis.
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",3.44 THz,"We have detailed the progress made in creating a quantum cascade laser with a specific wavelength of 1587.2 millimeters, corresponding to a photon energy of 14.2 meV or a frequency of 3.44 THz.		"
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",LO-phonon,"Given the above-normal operating temperatures and duty cycles, we assert that utilizing direct LO-phonon-based depopulation proves to be a robust method in the realization of long-wavelength THz quantum cascade lasers.		"
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",110 K,"During the pulsed operation, the device emitted light with a maximum heatsink temperature of 110 K.		"
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",InAsSb/GaSb,"A fourteen-well period has been integrated into the QCL, consisting of InAsSb/GaSb material system."
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",1.22 THz,"Our team successfully created a quantum cascade laser with a length of l982.4 mm, equivalent to 1.22 THz or 9.8 meV photon energy."
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",175 K,A threshold current density of 6000 A/cm2 and an operating temperature of 175K resulted in an optical power of 550mW from a 700-mm-wide and 9-mm-long laser in
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",4.3 to 6.6 THz,The THz QCLs under investigation emit in the range of 4.3 to 6.6 THz.
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",GaAs/Al0.25Ga0.75As,"An effective way to reduce leakage current in the device is through the utilization of a quantum cascade module based on a five-well GaAs/Al0.25Ga0.75As framework.		"
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",InGaAs/GaAs,The QCL has a seven-well period designed with the InGaAs/GaAs material system.
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",resonant-phonon," Using a scattering-assisted injection and resonant-phonon depopulation strategy, a 17.3 THz QCL has been successfully created."
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",13.5 THz,"Through the innovative implementation of a scattering-assisted injection and resonant-phonon depopulation approach, scientists have achieved a new milestone with a 13.5 THz quantum cascade laser."
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",4.92 THz,"Our findings show that by incorporating a bound-to-continuum active region and aluminum-based surface-plasmon waveguide design, we were able to achieve continuous-wave operation of terahertz (THz) quantum cascade lasers with emission at 4.92 THz."
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",300 mW,"A high optical power of 300mW was produced by a laser with a large width of 200mm and a length of 2mm, operating at a low threshold current density of 10 A/cm2 at 80K in cw operation."
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",3.16 THz,"The most effective device, optimized at 2.9 mm in length and functioning at 3.16 THz, exhibits a low threshold current density of 270 A/cm2 when operated at 15 K.		"
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text","163K, 115 K","The terahertz quantum-cascade lasers were operated at 163 K in pulsed mode and at 115 K in continuous-wave mode, showing consistently high efficiency."
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",205 K,"At B = 30 T, where the cyclotron transition is almost resonant with the LO-phonon, we recorded a maximum operating temperature of 205K for the devices with Cu waveguide."
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",40 Mw,"With a threshold current density of 3500 A/cm2 at 175K, a 700-mm-wide and 7-mm-long laser operated continuously and generated an optical power of 40mW."
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",GaAs/Al0.35Ga0.65As,"To effectively suppress leakage current, the chosen quantum cascade module of the device is based on a seven-well GaAs/Al0.35Ga0.65As structure."
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",(LO) phonons," In this experiment, the resonant LO phonon system27,41 was studied, where electrons engage in resonant tunneling through the collector barrier and are scattered by fast longitudinal-optical (LO) phonons into level 3 before being re-injected into the next module."
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",GaAs/AlGaAs,"The operation of GaAs/AlGaAs quantum cascade lasers at 4.7 THz is documented, using a four quantum well configuration.		"
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",144 K,"The QCL can function in pulsed-mode with a heat-sink temperature reaching 144 K, which is significantly greater than the capabilities of previously reported THz QCLs operating at a frequency of 2 THz."
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",5 mW,"With a narrow width of 20mm and a length of 0.5mm, the laser generated an optical power of 5mW with a threshold current density of 100 A/cm2 at 5K in continuous-wave mode."
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",LO-phonon,"When the magnetic field reaches 12 T and the cyclotron transition approaches the frequency of the LO-phonon, we achieved a record high operating temperature of 195K for the Cu waveguide apparatus.		"
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",190 K,Researchers have designed a new type of resonant-phonon terahertz quantum-cascade laser that can operate up to 190 K.
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",resonant-phonon,"Breaking all previous records, resonant-phonon terahertz quantum-cascade lasers were able to operate at a high heat-sink temperature of 210 K, paving the way for even more advanced laser technology."
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",3.14 THz,"At a temperature of 115K, the device can operate at a lasing frequency of 3.14 THz."
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",9 mW,"The devices exhibit threshold current densities of 0.75 kA/cm2 and provide peak optical powers up to 9 mW.		"
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",GaN/Al0.2Ga0.8N ,The GaN/Al0.2Ga0.8N laser structure utilizes alloy disorder for efficient electron depopulation.
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text","114 K, 97 K","Utilizing this novel fabrication and active region approach, a 2 THz QCL achieved operation at 144 K in pulsed mode and 97 K in cw mode."
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text","214 K, 151 K","By combining improved fabrication methods and an advanced active region design, a record-breaking 10 THz QCL showed operation up to 214 K in pulsed mode and 151 K in cw mode."
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",3.36 and 3.92 THz,"For three wafers based on GaAs/AlAs heterostructures for lasers with target frequencies of 3.36 and 3.92 THz, we observed a blue shift of the emission frequency from the center to the edge of the wafer.		"
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",0.4 Mw,"A single facet collected with a Winston cone with a circular opening of 2.50 mm diameter yielded a peak cw power of 0.4 mW when measured with a thermopile detector (ScienTech, model AC1500) placed next to the cryostat window."
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",25 K,"In cw operation, this device lased up to Tmax=25K."
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",186 K,"This terahertz QCL boasts a record-breaking pulsed Tmax of 186 K, outshining all previous designs, despite having a significantly lower radiative oscillator intensity.		"
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",2.1 THz,"By employing a scattering-assisted injection and resonant-phonon depopulation design methodology, a 2.1 THz quantum cascade laser (QCL) is successfully presented.		"
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",2.75 THz,"Based on our analysis, the greatest 3.2-mm-long device operating at 2.75 THz has a low threshold current density of 260 A/cm2 at 15 K."
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text","In0.47Ga0.53As/GaAs0.49Sb0.51, In0.53Ga0.47As/In0.52Al0.48As","By utilizing the alternative material combination In0.47Ga0.53As/GaAs0.49Sb0.51, lattice-matched to InP, we were able to achieve higher fabrication efficiency compared to the standard In0.53Ga0.47As/In0.52Al0.48As due to more optimal material parameters."
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",LO-phonon,"Taking into account the comparatively elevated operating temperatures and repetitive cycles, we suggest that using direct LO-phonon-based depopulation is a resilient approach to producing quantum cascade lasers in the long-wavelength THz range.		"
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",3.44 THz,"Our research covers the advancements made in a quantum cascade laser operating at a length of 1587.2 millimeters and producing a photon energy of 14.2 meV or a frequency of 3.44 THz.		"
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",GaN/Al0.01Ga0.99As,"The design of our laser is inspired by Ref [6], with a GaN/Al0.01Ga0.99As heterostructure and a 1% expansion in all layer thicknesses."
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",GaSb/Al0.1Ga0.9Sb,"The structure, labeled OWI185-M1 (growth EA1304), was grown in GaSb/Al0.1Ga0.9Sb."
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",4 Mw,The new system has threshold current densities of 1.2 kA/cm2 and can produce peak optical powers of 4 mW.
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",bound-to-continuum," By using a bound-to-continuum active region and a high-resistivity surface-plasmon waveguide design, we were able to continuously run 11.8 THz quantum cascade lasers without any issues. "
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",142.89 K,"To conclude, our results indicated the impressive performance of InGaAs-based THz QCLs, exhibiting functionality at a maximum heatsink temperature of 142.89 K.		"
